classifier,featuresnum,features,metrics,value
SVM,217,78,f1,0.536386473
SVM,221,80,f1,0.532518733
SVM,229,82,f1,0.542131273
SVM,233,84,f1,0.549037465
SVM,238,86,f1,0.533494682
SVM,247,88,f1,0.561666699
SVM,249,90,f1,0.551347815
SVM,258,92,f1,0.552992107
SVM,260,94,f1,0.55529804
SVM,266,96,f1,0.548277245
SVM,271,98,f1,0.541745086
SVM,277,100,f1,0.542805642
Tree,5,2,f1,0.40511003
Tree,11,4,f1,0.433911029
Tree,17,6,f1,0.419286034
Tree,24,8,f1,0.409211451
Tree,27,10,f1,0.406474728
Tree,33,12,f1,0.451433139
Tree,40,14,f1,0.462731823
Tree,44,16,f1,0.499203828
Tree,49,18,f1,0.499203828
Tree,55,20,f1,0.50599843
Tree,61,22,f1,0.603936374
Tree,69,24,f1,0.590615326
Tree,72,26,f1,0.586939959
Tree,79,28,f1,0.575509073
Tree,85,30,f1,0.576975587
Tree,88,32,f1,0.576950339
Tree,94,34,f1,0.576950339
Tree,99,36,f1,0.57783673
Tree,105,38,f1,0.577928145
Tree,110,40,f1,0.577928145
Tree,116,42,f1,0.5587138
Tree,121,44,f1,0.553818352
Tree,127,46,f1,0.556303666
Tree,132,48,f1,0.556303666
Tree,138,50,f1,0.564140632
Tree,144,52,f1,0.499544308
Tree,149,54,f1,0.498058173
Tree,155,56,f1,0.497547246
Tree,160,58,f1,0.496606908
Tree,166,60,f1,0.498129768
Tree,171,62,f1,0.496038639
Tree,178,64,f1,0.487978132
Tree,184,66,f1,0.487978132
Tree,188,68,f1,0.524596018
Tree,193,70,f1,0.523700379
Tree,202,72,f1,0.523700379
Tree,205,74,f1,0.521896669
Tree,210,76,f1,0.521896669
Tree,217,78,f1,0.521896669
Tree,221,80,f1,0.513100547
Tree,229,82,f1,0.511669027
Tree,233,84,f1,0.513100547
Tree,238,86,f1,0.510345899
Tree,247,88,f1,0.510345899
Tree,249,90,f1,0.506132578
Tree,258,92,f1,0.497295633
Tree,260,94,f1,0.483502118
Tree,266,96,f1,0.502712834
Tree,271,98,f1,0.502712834
Tree,277,100,f1,0.458067841
