classifier,featuresnum,features,metrics,value
SVM,1122,38,f1,0.878632
SVM,1181,40,f1,0.877001
SVM,1240,42,f1,0.877496
SVM,1299,44,f1,0.876955
SVM,1358,46,f1,0.875132
SVM,1417,48,f1,0.877585
SVM,1476,50,f1,0.875818
SVM,1535,52,f1,0.875013
SVM,1595,54,f1,0.873999
SVM,1653,56,f1,0.874336
SVM,1715,58,f1,0.876371
SVM,1771,60,f1,0.874925
SVM,1830,62,f1,0.87411
SVM,1889,64,f1,0.871567
SVM,1948,66,f1,0.871594
SVM,2008,68,f1,0.87417
SVM,2067,70,f1,0.873211
SVM,2126,72,f1,0.874233
SVM,2185,74,f1,0.874985
SVM,2244,76,f1,0.874604
SVM,2306,78,f1,0.874033
SVM,2364,80,f1,0.874187
SVM,2421,82,f1,0.871893
SVM,2480,84,f1,0.872402
SVM,2539,86,f1,0.871009
SVM,2600,88,f1,0.870583
SVM,2663,90,f1,0.869956
SVM,2716,92,f1,0.87034
SVM,2776,94,f1,0.870412
SVM,2834,96,f1,0.870084
SVM,2897,98,f1,0.870863
SVM,2953,100,f1,0.870635
LSVM,59,2,f1,0.642597
LSVM,118,4,f1,0.721152
LSVM,177,6,f1,0.774847
LSVM,236,8,f1,0.829543
LSVM,295,10,f1,0.849426
LSVM,354,12,f1,0.876279
LSVM,413,14,f1,0.883665
LSVM,472,16,f1,0.894638
LSVM,531,18,f1,0.899579
LSVM,590,20,f1,0.902412
LSVM,650,22,f1,0.897429
LSVM,710,24,f1,0.897856
LSVM,770,26,f1,0.899966
LSVM,826,28,f1,0.902193
LSVM,885,30,f1,0.90262
LSVM,944,32,f1,0.903362
LSVM,1004,34,f1,0.906353
LSVM,1063,36,f1,0.90665
LSVM,1122,38,f1,0.907949
LSVM,1181,40,f1,0.904427
LSVM,1240,42,f1,0.905124
LSVM,1299,44,f1,0.904834
LSVM,1358,46,f1,0.905418
LSVM,1417,48,f1,0.905022
LSVM,1476,50,f1,0.904232
LSVM,1535,52,f1,0.905135
LSVM,1595,54,f1,0.904695
LSVM,1653,56,f1,0.902892
LSVM,1715,58,f1,0.903275
LSVM,1771,60,f1,0.902885
LSVM,1830,62,f1,0.903631
LSVM,1889,64,f1,0.900671
LSVM,1948,66,f1,0.900678
LSVM,2008,68,f1,0.900621
LSVM,2067,70,f1,0.90117
LSVM,2126,72,f1,0.900964
LSVM,2185,74,f1,0.900739
LSVM,2244,76,f1,0.900629
LSVM,2306,78,f1,0.901147
LSVM,2364,80,f1,0.900849
LSVM,2421,82,f1,0.90072
LSVM,2480,84,f1,0.90018
LSVM,2539,86,f1,0.900213
LSVM,2600,88,f1,0.899785
LSVM,2663,90,f1,0.899052
LSVM,2716,92,f1,0.899372
LSVM,2776,94,f1,0.899096
LSVM,2834,96,f1,0.89945
LSVM,2897,98,f1,0.899951
LSVM,2953,100,f1,0.899543
